AUDIO,STEEL,Y,Y2,DISTANCE,ANGLE,SHAPE,AREA,POWER,THICK,relative_path
fold_2_noise/Bright_Black_10_noise.wav,Bright_Black,1,9,11,0,square,2500.0,29.8,0.9,/fold_2/Bright_Black_10.wav
fold_2_noise/Bright_Black_100_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,13.8,30.0,/fold_2/Bright_Black_100.wav
fold_2_noise/Bright_Black_101_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,15.8,30.0,/fold_2/Bright_Black_101.wav
fold_2_noise/Bright_Black_102_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,17.8,30.0,/fold_2/Bright_Black_102.wav
fold_2_noise/Bright_Black_103_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,19.8,30.0,/fold_2/Bright_Black_103.wav
fold_2_noise/Bright_Black_104_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,21.8,30.0,/fold_2/Bright_Black_104.wav
fold_2_noise/Bright_Black_105_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,23.8,30.0,/fold_2/Bright_Black_105.wav
fold_2_noise/Bright_Black_106_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,25.8,30.0,/fold_2/Bright_Black_106.wav
fold_2_noise/Bright_Black_107_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,27.8,30.0,/fold_2/Bright_Black_107.wav
fold_2_noise/Bright_Black_108_noise.wav,Bright_Black,1,7,11,180,tube,1570.0,29.8,30.0,/fold_2/Bright_Black_108.wav
fold_2_noise/Bright_Black_111_noise.wav,Bright_Black,1,5,11,0,tube,1570.0,13.8,30.0,/fold_2/Bright_Black_111.wav
fold_2_noise/Bright_Black_112_noise.wav,Bright_Black,1,5,11,0,tube,1570.0,15.8,30.0,/fold_2/Bright_Black_112.wav
fold_2_noise/Bright_Black_113_noise.wav,Bright_Black,1,5,11,0,tube,1570.0,17.8,30.0,/fold_2/Bright_Black_113.wav
fold_2_noise/Bright_Black_114_noise.wav,Bright_Black,1,5,11,0,tube,1570.0,19.8,30.0,/fold_2/Bright_Black_114.wav
